City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,6.61,87,97,1.13,IS,1723089935
1,utrik,11.2278,169.8474,28.1,78,18,5.78,MH,1723089936
2,mount isa,-20.7333,139.5,26.87,22,0,3.09,AU,1723089936
3,chui,-33.6971,-53.4616,8.48,81,68,2.77,UY,1723089936
4,sandnessjoen,66.0217,12.6316,18.29,79,96,9.3,NO,1723089936
5,dudinka,69.4058,86.1778,14.83,47,10,9.45,RU,1723089936
6,port-aux-francais,-49.35,70.2167,0.41,94,100,11.61,TF,1723089932
7,tommot,58.9564,126.2925,23.17,48,0,1.72,RU,1723089937
8,lakatoro,-16.0999,167.4164,24.75,65,100,6.65,VU,1723089937
9,longyearbyen,78.2186,15.6401,12.91,82,75,0.0,SJ,1723089933
10,ushuaia,-54.8,-68.3,0.81,80,75,1.54,AR,1723089661
11,mokhsogollokh,61.4681,128.9203,21.67,39,4,1.29,RU,1723089937
12,cabo san lucas,22.8909,-109.9124,29.61,72,13,0.89,MX,1723089932
13,sinabang,2.4803,96.3801,27.08,79,100,0.43,ID,1723089937
14,port elizabeth,-33.918,25.5701,14.06,96,0,4.12,ZA,1723089902
15,iqaluit,63.7506,-68.5145,6.85,81,20,1.03,CA,1723089813
16,kuqa,41.7278,82.9364,25.9,33,0,3.85,CN,1723089938
17,waitangi,-43.9535,-176.5597,11.01,76,26,1.79,NZ,1723089870
18,novyy urengoy,66.0833,76.6333,12.53,61,90,6.03,RU,1723089938
19,tafresh,34.692,50.013,29.68,21,4,1.15,IR,1723089938
20,hamilton,39.1834,-84.5333,23.56,83,0,2.57,US,1723089438
21,selma,36.5708,-119.6121,35.19,10,0,8.05,US,1723089938
22,zhicheng,30.2956,111.5047,36.92,43,100,3.9,CN,1723089938
23,arraial do cabo,-22.9661,-42.0278,22.02,86,0,9.77,BR,1723089938
24,taksimo,56.3444,114.8794,25.33,46,100,1.1,RU,1723089939
25,zemio,5.0314,25.1361,20.55,91,100,0.75,CF,1723089939
26,namibe,-15.1961,12.1522,14.54,89,7,1.95,AO,1723089936
27,edinburgh of the seven seas,-37.0676,-12.3116,9.27,54,100,10.62,SH,1723089869
28,saint-louis,16.3333,-15.0,27.8,69,100,3.44,SN,1723089929
29,blackmans bay,-43.0167,147.3167,13.74,62,100,1.79,AU,1723089935
30,nogliki,51.8333,143.1667,12.95,99,100,6.63,RU,1723089939
31,ust-nera,64.5667,143.2,14.3,75,99,1.11,RU,1723089938
32,islamkot,24.6997,70.177,30.02,66,85,8.17,PK,1723089940
33,stanley,54.868,-1.6985,13.17,87,2,3.6,GB,1723089940
34,georgetown,5.4112,100.3354,32.96,52,20,5.14,MY,1723089705
35,hilo,19.7297,-155.09,27.19,81,0,4.12,US,1723089940
36,pisco,-13.7,-76.2167,16.03,82,100,2.06,PE,1723089940
37,al bawiti,28.3492,28.8659,26.99,45,0,2.96,EG,1723089940
38,mananara,-16.1667,49.7667,20.43,77,83,2.47,MG,1723089940
39,sitka,57.0531,-135.33,16.94,77,20,1.54,US,1723089939
40,west island,-12.1568,96.8225,27.99,69,15,6.69,CC,1723089849
41,sirsa,29.5333,75.0167,31.66,64,7,0.74,IN,1723089941
42,thompson,55.7435,-97.8558,12.09,76,75,2.57,CA,1723089941
43,leava,-14.3,-178.1667,25.41,66,75,9.4,WF,1723089941
44,anadyr,64.75,177.4833,8.28,81,40,5.0,RU,1723089672
45,pohang,36.0322,129.365,34.63,47,96,2.83,KR,1723089919
46,sena madureira,-9.0656,-68.6569,24.11,73,33,0.51,BR,1723089941
47,san patricio,28.017,-97.5169,29.94,65,0,5.6,US,1723089941
48,polyarnyy,69.1989,33.4478,13.86,61,60,3.77,RU,1723089941
49,namie,37.4833,141.0,32.62,77,67,0.45,JP,1723089941
50,obubra,6.0752,8.329,21.91,98,100,1.83,NG,1723089942
51,victorica,-36.2151,-65.4359,4.27,79,100,8.86,AR,1723089942
52,ilulissat,69.2167,-51.1,5.01,93,100,1.54,GL,1723089934
53,khovd,48.0056,91.6419,22.8,30,100,2.08,MN,1723089942
54,bethel,41.3712,-73.414,18.34,90,100,0.45,US,1723089934
55,grytviken,-54.2811,-36.5092,-10.07,75,19,4.4,GS,1723089932
56,port mathurin,-19.6833,63.4167,22.32,75,16,5.77,MU,1723089940
57,zaozersk,69.4005,32.4476,15.35,57,84,2.76,RU,1723089937
58,puerto ayora,-0.7393,-90.3518,19.19,98,85,2.24,EC,1723089932
59,kodiak,57.79,-152.4072,13.73,88,40,0.0,US,1723089941
60,puerto natales,-51.7236,-72.4875,0.58,81,100,1.64,CL,1723089942
61,adamstown,-25.066,-130.1015,19.59,67,95,3.24,PN,1723089933
62,sainte-anne-des-monts,49.124,-66.4924,14.93,58,35,3.09,CA,1723089943
63,naze,28.3667,129.4833,32.51,67,64,1.15,JP,1723089943
64,aasiaat,68.7098,-52.8699,3.4,95,99,3.29,GL,1723089943
65,brisas de zicatela,15.8369,-97.0419,28.01,82,100,4.18,MX,1723089943
66,madimba,-10.4,40.3333,20.62,94,20,5.14,TZ,1723089943
67,weno,7.4515,151.8468,31.97,66,75,2.06,FM,1723089944
68,puerto vilelas,-27.5141,-58.9391,12.29,83,0,4.12,AR,1723089944
69,gbadolite,4.2833,21.0167,20.26,97,86,1.14,CD,1723089944
70,cartagena,10.3997,-75.5144,26.79,89,20,2.06,CO,1723089607
71,lorengau,-2.0226,147.2712,29.77,69,23,4.44,PG,1723089944
72,grand gaube,-20.0064,57.6608,22.22,78,0,0.45,MU,1723089944
73,opuwo,-18.0607,13.84,16.29,34,0,2.25,NA,1723089945
74,neftekamsk,56.092,54.2703,17.14,87,100,4.1,RU,1723089945
75,klaksvik,62.2266,-6.589,9.51,91,96,4.58,FO,1723089945
76,pokaran,26.9167,71.9167,28.76,66,84,7.01,IN,1723089945
77,kapa'a,22.0752,-159.319,27.18,78,40,6.17,US,1723089944
78,north shore,-36.8,174.75,15.22,84,90,5.36,NZ,1723089946
79,valenca do piaui,-6.4075,-41.7456,22.06,51,3,2.59,BR,1723089684
80,howrah,22.5892,88.3103,30.0,84,75,4.12,IN,1723089946
81,invercargill,-46.4,168.35,10.57,73,67,2.68,NZ,1723089932
82,wynyard,-41.0,145.7167,12.3,77,100,6.6,AU,1723089946
83,orangeburg,33.4918,-80.8557,24.98,80,100,2.68,US,1723089946
